Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Postulat betreffend Sicherung der Ergebnisse der Zentrumsplanung,Postulat,Rückzug,6. Juni 2012,"['Michael Vogt\n Beat Wiederkehr (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Michael Vogt', 'Beat Wiederkehr', 'Andreas Gut', 'Monika Greter']"
Schriftliche Anfrage eGovernment: Langfristige Strategie,Anfrage,Beantwortet,19. August 2017,"[' Minutella Angelo', '', 'Michael Weiss (Erstunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']"
Postulat zur inakzeptablen Situation in der Bahnhofunterführung,Postulat,Beantwortet,30. April 2009,['FDP-Fraktion'],['FDP-Fraktion']
Schriftliche Anfrage betreffend Zivilschutzorganisation,Kleine Anfrage,Beantwortet,29. April 2013,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']"
"Interpellation betreffend Klimaverträglichkeit der ""Werkstadt Zürisee""",Interpellation,Erledigt,26. September 2019,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']"
Schriftliche Anfrage betreffend Sicherheit in den Wohnquartieren,Kleine Anfrage,Beantwortet,22. Februar 2010,['SVP-Fraktion'],['SVP-Fraktion']
Postulat betreffend Verbesserung Sicherheit am Bahnhof,Postulat,Beantwortet,17. August 2010,"['Thomas Hartmann, SP']",['Thomas Hartmann']
Postulat betreffend Infostelle Freiwilligenarbeit,Postulat,Abgeschrieben,18. März 2018,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']"
Schriftliche Anfrage betreffend Wohnungsstruktur in Wädenswil und Au und dem Zusammenhang mit Steuerzahlern,Kleine Anfrage,Beantwortet,22. Januar 2010,['FDP-Fraktion'],['FDP-Fraktion']
Postulat betreffend Sicherheit Kreuzung Fuhrstrasse/Rotweg,Postulat,Beantwortet,28. Januar 2010,['EVP-Fraktion'],['EVP-Fraktion']
