Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Homeoffice in der Corona-Krise: Erkenntnisse aus der Stadtverwaltung,Interpellation,Beantwortet,2020-06-12,"[' Buchmann Reto', ' Frei Daniel']","['Buchmann Reto', 'Frei Daniel']"
Hitzeminderung im Stadtgebiet,Interpellation,Beantwortet,2021-04-22,"['Dr. Oswald Marianne', 'Dr. Broggini Angela ', ' Schneider Daniel']","['Oswald Marianne', 'Broggini Angela', 'Schneider Daniel']"
Aufwertung der Verkehrsleitungs-Kreisel auf der Albisstrasse,Motion,Abgelehnt,2018-08-21,"[' Corrodi Bernie', ' Schneider Daniel']","['Corrodi Bernie', 'Schneider Daniel']"
Wann profitiert auch Adliswil von Umzonungen?,Anfrage,Beantwortet,2021-02-22,"[' Mäder Gabriel', ' Corrodi Bernie', 'Dr. Oswald Marianne', '', 'Walter Uebersax (Mitunterzeichner/in)']","['Mäder Gabriel', 'Corrodi Bernie', 'Oswald Marianne', 'Walter Uebersax']"
Abfalltrennung bei öffentlichen Veranstaltungen  und in öffentlichen Gebäuden in der Stadt Adliswil,Postulat,Pendent Legislative,2023-11-16,"[' Corrodi Bernie', ' Muthuthamby Kannathasan', ' Welti Pascal']","['Corrodi Bernie', 'Muthuthamby Kannathasan', 'Welti Pascal']"
Planung und Realisierung eines Gemeinschaftszentrums (GZ),Postulat,Abgelehnt,2020-01-08,"['Dr. Broggini Angela ', ' Corrodi Bernie', ' Mäder Gabriel', ' Yilmaz Esen', '', 'Angelika  Sulser (Ersatzurheber/in)\n Walter Uebersax (Mitunterzeichner/in)', '']","['Broggini Angela', 'Corrodi Bernie', 'Mäder Gabriel', 'Yilmaz Esen', 'Angelika  Sulser', 'Walter Uebersax']"
Schliessung Vulkaro,Interpellation,Beantwortet,2013-05-08,['Daniel Jud (keine Funktion)'],['Daniel Jud']
Stadteigene Bauland-Parzellen B2 und C im Dietlimoos,Motion,Abgelehnt,2017-07-05,"['Dr. Oswald Marianne', ' Schneider Daniel', '', 'Daniel Jud (Mitunterzeichner/in)']","['Oswald Marianne', 'Schneider Daniel', 'Daniel Jud']"
Lärm durch Nationalstrasse,Interpellation,Beantwortet,2017-06-22,[' Fässler Thomas'],['Fässler Thomas']
Kulturlandinitiative und weitere Bautätigkeit im Gebiet Dietlimoos/Moos,Interpellation,Beantwortet,2013-06-05,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein']
Altpapiersammlung durch Vereine in Adliswil,Interpellation,Beantwortet,2020-03-04,"[' Baldegger Harry', ' Corrodi Bernie', ' Frei Daniel', ' Melliger Heinz']","['Baldegger Harry', 'Corrodi Bernie', 'Frei Daniel', 'Melliger Heinz']"
Kronenwiese- Schulareal zur Entsiegelung und Hitzeminderung,Interpellation,Pendent Exekutive,2023-11-02,"[' Schoch Jacqueline ', ' Corrodi Bernie', ' Kälin Florian', ' Mäder Gabriel']","['Schoch Jacqueline', 'Corrodi Bernie', 'Kälin Florian', 'Mäder Gabriel']"
Massvolle Verdichtung statt Grossüberbauung und Hochhäuser,Postulat,Abgeschrieben,2020-12-09,"[' Senn Mario', ' Frei Daniel', '', 'Daniela Morf (Mitunterzeichner/in)']","['Senn Mario', 'Frei Daniel', 'Daniela Morf']"
Verbesserung und Ausbau der Buslinie 151 (Zopf-Quartier),Motion,Abgeschrieben,2020-11-27,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']"
Gleichberechtigung der Entschädigung beim Zeitungssammeln,Interpellation,Pendent Exekutive,2023-09-21,[' Schanz Simon'],['Schanz Simon']
Energieversorgung von neuen Wärmepumpen in Adliswil,Interpellation,Beantwortet,2019-12-18,"[' Schanz Simon', ' Mäder Gabriel', '', 'Stefan Neubert (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Martin  Rüttimann (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '', '']","['Schanz Simon', 'Mäder Gabriel', 'Stefan Neubert', 'Anke Würl', 'Martin  Rüttimann', 'Walter Uebersax']"
Fussgängerstreifen Leimbachstrasse,Postulat,Überwiesen,2010-06-23,[' Clesle Hanspeter'],['Clesle Hanspeter']
Altersgerechte Politik in Adliswil,Interpellation,Beantwortet,2017-05-10,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang']
200-Watt-Gesellschaft,Postulat,Beantwortet,2009-02-05,[' Fässler Thomas'],['Fässler Thomas']
Energiebuchhaltung,Interpellation,Beantwortet,2008-11-26,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein']
Reduktion von Strassenlärm in Adliswil,Interpellation,Beantwortet,2017-06-07,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang']
Grundstückverzeichnis,Interpellation,Beantwortet,2019-11-06,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']"
Schulhausparkplätze in Adliswil,Interpellation,Beantwortet,2010-08-04,[' Senn Mario'],['Senn Mario']
Neues Nutzungskonzept für die Tiefgarage Zentrum,Postulat,Pendent Legislative,2023-09-21,"[' Mäder Gabriel', ' Engel Pascal', ' Schanz Simon']","['Mäder Gabriel', 'Engel Pascal', 'Schanz Simon']"
Verbesserung und Ausbau der Buslinie 153 (Sonnenberg-Quartier),Motion,Abgeschrieben,2020-11-27,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']"
Programmierunterricht an der Schule Adliswil,Interpellation,Beantwortet,2017-10-05,"['Dr. Bürgi Markus', ' Frei Daniel', ' Senn Mario']","['Bürgi Markus', 'Frei Daniel', 'Senn Mario']"
Veröffentlichung der Arbeitslosenzahlen,Interpellation,Beantwortet,2015-02-05,['Mario F. Salomon (keine Funktion)'],['Mario F. Salomon']
Flächendeckende Schulsozialarbeit,Motion,Erledigt,2010-01-11,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein']
Zwischenberichterstattung finanzielle Entwicklung,Postulat,Beantwortet,2013-03-06,[' Iseli Thomas'],['Iseli Thomas']
Änderungen im übergeordneten Recht und ihr finanzielle Auswirkungen auf Adliswil,Interpellation,Beantwortet,2013-07-03,[' Senn Mario'],['Senn Mario']
Zustände in der Notunterkunft (NUK) Adliswil,Interpellation,Beantwortet,2017-07-11,[' Engel Pascal'],['Engel Pascal']
Strassenbeleuchtung bei Bedarf,Interpellation,Beantwortet,2008-04-15,[' Fässler Thomas'],['Fässler Thomas']
Lärmschutz Zürichstrasse,Interpellation,Beantwortet,2008-03-06,['Davide Loss (keine Funktion)'],['Davide Loss']
Erfassung von 1. Mahnungen,Postulat,Nicht überwiesen,2013-07-03,[' Senn Mario'],['Senn Mario']
Datensicherheit in der Stadtverwaltung Adliswil,Interpellation,Beantwortet,2017-07-12,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang']
Nutzung von Synergien mit der ZIS,Interpellation,Beantwortet,2013-03-06,['Simone Huber (keine Funktion)'],['Simone Huber']
Schliessung der Geburtenabteilung Spital Sanitas,Interpellation,Beantwortet,2010-01-25,['Davide Loss (keine Funktion)'],['Davide Loss']
Zusammenarbeit mit der Kindes- und Erwachsenenschutzbehörde des Bezirks Horgen,Interpellation,Beantwortet,2015-02-05,"['Daniel Jud (keine Funktion)\n Davide Loss (keine Funktion)', '']","['Daniel Jud', 'Davide Loss']"
Bahnhof Adliswil direkter Zugang von der Passerelle zu den Gleisen,Postulat,Abgelehnt,2017-08-31,"[' Fässler Thomas', '', 'Andrea Blümli (Mitunterzeichner/in)\n Anke Würl (Verfasser/in)', '']","['Fässler Thomas', 'Andrea Blümli', 'Anke Würl']"
Gemeinnütziger Wohnungsbau im Dietlimoos,Motion,Abgelehnt,2017-08-15,"['Dr.  Liedtke Wolfgang', 'Dr. Oswald Marianne', '', 'Daniel Jud (Erstunterzeichner/in)']","['Liedtke Wolfgang', 'Oswald Marianne', 'Daniel Jud']"
"Kostendeckungsgrade, Gebühren und Steuern",Interpellation,Erledigt,2015-03-03,"['Yannick Wettstein (keine Funktion)\n Peter Werder (keine Funktion)', '']","['Yannick Wettstein', 'Peter Werder']"
Kostendeckende Einbürgerungsgebühren,Motion,Überwiesen,2010-05-13,[' Senn Mario'],['Senn Mario']
Grundstückgewinnsteuer,Interpellation,Beantwortet,2012-12-05,['Daniel Jud (keine Funktion)'],['Daniel Jud']
Sihlwald für alle,Interpellation,Beantwortet,2013-07-03,[' Fässler Thomas'],['Fässler Thomas']
