Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Postulat betreffend CO2-Reduktionsprogramm,Postulat,Beantwortet,2007-03-07,['GP-Fraktion'],['GP-Fraktion'],381
Postulat betreffend der öffentlichen Nutzung des Tiefenhofwalds,Postulat,Beantwortet,2009-03-09,['GP-Fraktion'],['GP-Fraktion'],382
Postulat betreffend Prüfung der Einsetzung eines Sozialinspektors,Postulat,Beantwortet,2008-04-23,['SVP-Fraktion'],['SVP-Fraktion'],383
Postulat betreffend Rufbus für den Wädenswiler Berg,Postulat,Abgeschrieben,2015-10-09,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",384
Postulat betreffend der Anschaffung von Elektro-Müllsauger,Postulat,Beantwortet,2012-05-18,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",385
Interpellation betreffend Cyber-Sicherheit der Gemeinde Wädenswil,Interpellation,Erledigt,2022-01-14,"[' Höhener Patrick', ' Baer Charlotte', ' Gall Ursula', ' Hauser Urs', ' Koch Thomas', ' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Rasper Nicolas', ' Reiter Ulrich', ' Roth Hans', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Utiger Joël', ' Willi Daniel', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Ulrich Eckl (Mitunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Rita Hug (Mitunterzeichner/in)\n Katarina Oehlin (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Höhener Patrick', 'Baer Charlotte', 'Gall Ursula', 'Hauser Urs', 'Koch Thomas', 'Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Rasper Nicolas', 'Reiter Ulrich', 'Roth Hans', 'Schafflützel Roman', 'Schüpbach Nadia', 'Utiger Joël', 'Willi Daniel', 'Zürrer André', 'Roy Schärer', 'Ulrich Eckl', 'Martin Schlatter', 'Pascal Rubin', 'Bruno Zürcher', 'Rita Hug', 'Katarina Oehlin', 'Claudia Bühlmann', 'Pierre Rappazzo', 'Karin Signer', 'Ernst Grand', 'Judith Fürst', 'Hanspeter Andreoli', 'Sandy Bossert', 'Lukas Wiederkehr', 'Christian Nufer', 'Edith Höhn', 'Gabi Bachmann']",386
Postulat betreffend Sicherung der Ergebnisse der Zentrumsplanung,Postulat,Rückzug,2012-06-06,"['Michael Vogt\n Beat Wiederkehr (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Michael Vogt', 'Beat Wiederkehr', 'Andreas Gut', 'Monika Greter']",387
Schriftliche Anfrage eGovernment: Langfristige Strategie,Anfrage,Beantwortet,2017-08-19,"[' Minutella Angelo', '', 'Michael Weiss (Erstunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']",388
Postulat zur inakzeptablen Situation in der Bahnhofunterführung,Postulat,Beantwortet,2009-04-30,['FDP-Fraktion'],['FDP-Fraktion'],389
Schriftliche Anfrage betreffend Zivilschutzorganisation,Kleine Anfrage,Beantwortet,2013-04-29,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",390
"Interpellation betreffend Klimaverträglichkeit der ""Werkstadt Zürisee""",Interpellation,Erledigt,2019-09-26,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",391
Schriftliche Anfrage betreffend Sicherheit in den Wohnquartieren,Kleine Anfrage,Beantwortet,2010-02-22,['SVP-Fraktion'],['SVP-Fraktion'],392
Postulat betreffend Verbesserung Sicherheit am Bahnhof,Postulat,Beantwortet,2010-08-17,"['Thomas Hartmann, SP']",['Thomas Hartmann'],393
Postulat betreffend Infostelle Freiwilligenarbeit,Postulat,Abgeschrieben,2018-03-18,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",394
Schriftliche Anfrage betreffend Wohnungsstruktur in Wädenswil und Au und dem Zusammenhang mit Steuerzahlern,Kleine Anfrage,Beantwortet,2010-01-22,['FDP-Fraktion'],['FDP-Fraktion'],395
Postulat betreffend Sicherheit Kreuzung Fuhrstrasse/Rotweg,Postulat,Beantwortet,2010-01-28,['EVP-Fraktion'],['EVP-Fraktion'],396
Interpellation zum Kulturleitbild - wer bestimmt was Kultur ist?,Interpellation,Erledigt,2018-03-19,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Hanspeter Andreoli', 'Sandy Bossert']",397
Postulat betreffend Sicherheit in Wädenswil,Postulat,Nicht überwiesen,2010-07-21,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Martin Lampert, SVP\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",398
Interpellation betreffend Kostenüberschreitung Witterungsschutz Bahnhofplatz,Interpellation,Beantwortet,2010-03-09,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)', '']","['Tobias Mani', 'Rahel Sonderegger']",399
Interpellation betreffend Konzessionsabgaben Erdgas ohne Rechtsgrundlage,Interpellation,Erledigt,2019-11-19,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",400
"Schriftliche Anfrage betreffend Sprayereien, wilde Abfallentsorgung, Sachbeschädigungen",Anfrage,Beantwortet,2013-05-12,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",401
Interpellation betreffend hindernisfreies Wädenswil,Interpellation,Beantwortet,2009-05-01,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],402
Interpellation betreffend Ambulante Pflege,Interpellation,Erledigt,2017-08-30,"['Patrik Mouron (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Erstunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",403
Schriftliche Anfrage zum Krieg in der Ukraine,Erklärung,Erledigt,2022-03-01,"[' Utiger Joël', ' Gall Ursula', '', 'Ulrich Eckl (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Utiger Joël', 'Gall Ursula', 'Ulrich Eckl', 'Lukas Wiederkehr']",404
Interpellation betreffend der Einrichtung einer Maturitätsschule,Interpellation,Beantwortet,2012-05-15,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],405
Interpellation betreffend Rütihof finanziell noch tragbar?,Interpellation,Erledigt,2015-11-23,"[' Minutella Angelo', '', 'Jonas Rickli (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Jonas Rickli', 'Pierre Rappazzo']",406
Postulat betreffend Geschwindigkeitsreduktion auf der unteren Bergstrasse,Postulat,Abgeschrieben,2012-06-04,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",407
Schriftliche Anfrage betreffend Wohnbautätigkeiten in Wädenswil/Au und deren Auswirkungen,Kleine Anfrage,Beantwortet,2008-05-01,['FDP-Fraktion'],['FDP-Fraktion'],408
Interpellation betreffend Busfahplan und Busbetrieb,Interpellation,Beantwortet,2009-03-09,['SP-Fraktion'],['SP-Fraktion'],409
Interpellation betreffend Abstimmungspanne vom 11. März 2007,Interpellation,,2007-04-10,['SP-Fraktion'],['SP-Fraktion'],410
Interpellation betreffend IT-Sicherheit in der Stadt Wädenswil,Interpellation,Erledigt,2018-09-24,"[' Hauser Urs', ' Höhener Patrick', ' Reiter Ulrich', '', 'Martin Schlatter (Erstunterzeichner/in)\n Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Hauser Urs', 'Höhener Patrick', 'Reiter Ulrich', 'Martin Schlatter', 'Rita Hug', 'Claudia Bühlmann', 'Gabi Bachmann']",411
Postulat betreffend mehr Professionalität und Chancengleichheit bei der Einbürgerung,Postulat,Beantwortet,2007-02-09,['SVP-Fraktion'],['SVP-Fraktion'],412
Interpellation zur Sicherheit im Lehrschwimmbecken Steinacher,Interpellation,Erledigt,2013-03-26,['Albert A. Stahel'],['Albert A. Stahel'],413
Postulat betreffend ökologische Mobilitätsrabatte für Mitarbeiter/-innen der Stadt Wädenswil,Postulat,Nicht überwiesen,2008-12-15,['GP-Fraktion'],['GP-Fraktion'],414
Interpellation betreffend Attraktivitäts-Steigerung und Steuerfuss-Strategie,Interpellation,Beantwortet,2008-09-01,['SVP-Fraktion'],['SVP-Fraktion'],415
Schriftliche Anfrage betreffend Beitritt der Stadt Wädenswil zur europäischen Charta für die Gleichstellung von Frau und Mann,Kleine Anfrage,Beantwortet,2008-05-17,['Willy Rüegg'],['Willy Rüegg'],416
Schriftliche Anfrage betreffend sinnvolle Nutzung von Flachdächern,Kleine Anfrage,Beantwortet,2012-06-18,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",417
"Postulat betreffend Sicherheit von Badenden beim ""Seegüetli""",Postulat,Erledigt,2022-05-24,"[' Koch Thomas', ' Lüthi Beat', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Ernst Grand (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Koch Thomas', 'Lüthi Beat', 'Schafflützel Roman', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",418
Postulat betreffend Biogasanteil in Standardprodukten und Wädenswiler Biomassenpotenzial,Postulat,Erledigt,2017-10-02,"[' Minutella Angelo', '', 'Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']",419
Postulat betreffend Beitritt der Stadt Wädenswil zur KulturLegi Kanton Zürich der Caritas,Postulat,Beantwortet,2009-04-27,['CVP-Fraktion'],['CVP-Fraktion'],420
Schriftliche Anfrage betreffend MS Glärnisch in der Wädenswiler Haab,Anfrage,Erledigt,2019-09-22,[' Rasper Nicolas'],['Rasper Nicolas'],421
Schriftliche Anfrage betreffend Bau von Photovoltaikanlagen auf öffentlichen Gebäuden,Anfrage,Beantwortet,2013-05-14,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",422
Postulat betreffend Förderbeitrag E-Bikes,Postulat,Nicht überwiesen,2010-04-15,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",423
Interpellation betreffend Rendite der Liegenschaften im Finanzvermögen,Interpellation,Erledigt,2018-03-19,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",424
Postulat betreffend Verbesserung Verkehrssicherheit Bahnhofplatz Wädenswil,Postulat,Nicht überwiesen,2010-07-19,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",425
Interpellation betreffend Entwicklung Halbinsel Giessen,Interpellation,Beantwortet,2010-01-19,['GP-Fraktion'],['GP-Fraktion'],426
Postulat betreffend erste halbe Stunde gratis Bus fahren,Postulat,,2009-12-16,['SP-Fraktion'],['SP-Fraktion'],427
Postulat betreffend Sicherstellung Wasserqualität des Bachgadenweiher-Zufluss Aabach,Postulat,Nicht überwiesen,2010-07-19,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",428
Postulat betreffend Stärkung der ortsansässigen Vereine,Postulat,Erledigt,2018-03-19,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",429
Interpellation betreffend Seeuferweg im Giessen,Interpellation,Beantwortet,2010-03-17,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)', '']","['Tobias Mani', 'Rahel Sonderegger']",430
Schriftliche Anfrage betreffend Energieberatung für Privatpersonen und KMU,Anfrage,Beantwortet,2013-05-14,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",431
Interpellation betreffend Pflanzenschutzmittel,Interpellation,Erledigt,2019-08-28,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",432
Postulat betreffend Verbesserung des Reitwegnetzes,Postulat,Nicht überwiesen,2009-04-26,['GP-Fraktion'],['GP-Fraktion'],433
Postulat betreffend öV auf der Autobahn A3,Postulat,Abgeschrieben,2017-09-06,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",434
"Interpellation betreffend ""Wie weiter nach Annahme der Kulturlandinitiative?""",Interpellation,Beantwortet,2012-06-22,"[' Furrer Astrid', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Pascal Rubin (keine Funktion)\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Ivano Coduri', 'Erich Schärer', 'Pascal Rubin', 'Walter Münch']",435
Interpellation betreffend finanzielle Unterstützung von Vereinen,Interpellation,Erledigt,2022-03-04,"[' Rasper Nicolas', ' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '']","['Rasper Nicolas', 'Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",436
Motion zur Änderung des Abschreibungssystems bei der Wasserversorgung und Abwasserentsorgung sowie bei der Erdgasversorgung,Motion,Beantwortet,2008-05-13,['CVP-Fraktion'],['CVP-Fraktion'],437
Schriftliche Anfrage betreffend Touristeninformationsbüro in Wädenswil,Kleine Anfrage,Beantwortet,2009-02-03,['EVP-Fraktion'],['EVP-Fraktion'],438
Postulat betreffend Erweiterung des Toblerwegs entlang der alten Landstrasse in der Au,Postulat,,2008-08-27,['Peter Dolder'],['Peter Dolder'],439
"Schriftliche Anfrage zur Behandlung von Anfragen aus der Bevölkerung, welche an den Stadtrat gehen",Kleine Anfrage,Beantwortet,2013-03-26,['Albert A. Stahel'],['Albert A. Stahel'],440
Schriftliche Anfrage betreffend slowUp am linken Zürichsee,Kleine Anfrage,,2007-01-22,['GP-Fraktion'],['GP-Fraktion'],441
Schriftliche Anfrage zu einem verkehrstechnischen Leitbild der Stadt Wädenswil,Kleine Anfrage,Beantwortet,2006-12-05,"['Martin Lampert, SVP']",['Martin Lampert'],442
Interpellation betreffend Bushaltestellen Tobelrain und Hallenbad/Frohmatt,Interpellation,Beantwortet,2009-03-23,['EVP-Fraktion'],['EVP-Fraktion'],443
Schriftliche Anfrage betreffend Halbinsel Au,Kleine Anfrage,Beantwortet,2008-04-11,['Jürg Wuhrmann (Verfasser/in)'],['Jürg Wuhrmann'],444
Dringliche Interpellation betreffend Asylunterkünfte,Dringliche Interpellation,Erledigt,2022-08-18,"[' Baer Charlotte', ' Cogliati Bruno', ' Hitz Roland', ' Kronauer Marco', ' Rasper Nicolas', ' Rusterholz Marlies', ' Zürrer André', '', 'Sandy Bossert (Mitunterzeichner/in)']","['Baer Charlotte', 'Cogliati Bruno', 'Hitz Roland', 'Kronauer Marco', 'Rasper Nicolas', 'Rusterholz Marlies', 'Zürrer André', 'Sandy Bossert']",445
Interpellation betreffend der Entwicklung der lokalen Landwirtschaft,Interpellation,Beantwortet,2012-07-15,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],446
Postulat betreffend Wechselsignal Tiefenhofstrasse,Postulat,Nicht überwiesen,2009-05-06,['EVP-Fraktion'],['EVP-Fraktion'],447
Interpellation betreffend Piazza im Stadtzentrum,Interpellation,Erledigt,2017-11-01,"['Patrik Mouron (Mitunterzeichner/in)\n Volkan Dogu (Erstunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",448
Postulat betreffend Schliessung Seeuferweglücke,Postulat,Abgeschrieben,2016-06-14,"['Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '', '']","['Simon Kägi', 'Rita Hug', 'Claudia Bühlmann']",449
Postulat betreffend Erfrischungsgetränk,Postulat,Abgeschrieben,2019-06-12,"['Pascal Rubin (Mitunterzeichner/in)\n Bruno Zürcher (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",450
Postulat betreffend Definierung von Rahmenbedingungen für einen Mindestanteil günstigen Wohnraums in Gestaltungsplänen,Postulat,Abgeschrieben,2013-04-22,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",451
Postulat betreffend Bewilligungskompetenzen zum geänderten Projekt Überdachung Busbahnhof Welle,Postulat,Nicht überwiesen,2010-05-22,"['Kuno Spirig, GLP']",['Kuno Spirig'],452
Schriftliche Anfrage betreffend Neuhofpark,Kleine Anfrage,Beantwortet,2009-11-30,['CVP-Fraktion'],['CVP-Fraktion'],453
Schriftliche Anfrage betreffend Personalfluktuation in der Abteilung Soziales,Kleine Anfrage,Beantwortet,2007-08-31,"['und Aurèle Greter, CVP\n \n Simon Kägi (Verfasser/in)', '', '']","['Aurel Greter', 'Simon Kägi']",454
Interpellation betreffend Schlittelwege in Wädenswil,Interpellation,Beantwortet,2010-11-28,"[' Erni Jonas', '', 'Corina Bürgi, SP\n Migmar Dhakyel, SP\n Willy Rüegg, SP\n Thomas Hartmann, SP\n Daniel Tanner (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Daniel Tanner']",455
Interpellation betreffend Verkehrszunahme und zeitweise Verkehrsüberlastung der Region Hintere Rüti/Neubüel,Interpellation,Erledigt,2018-03-15,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (Mitunterzeichner)\n\nChristoph Lehmann (Mitunterzeichner)\n\n\nAdrian Stocker (Mitunterzeichner/in)\nPascal Rubin (Mitunterzeichner/in)\nChristina Zurfluh Fraefel (Mitunterzeichner/in)\nRoy Schärer (Erstunterzeichner/in)\nHanspeter Andreoli (Mitunterzeichner/in)\nSandy Bossert (Mitunterzeichner/in)', 'Markus Siegrist (Mitunterzeichner)\n\nChristoph Lehmann (Mitunterzeichner)', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Hanspeter Andreoli', 'Sandy Bossert', 'Markus Siegrist', 'Christoph Lehmann']",456
Schriftliche Anfrage betreffend Volksinitiative in Wädenswil und die Kostenfolge für den Steuerzahler,Anfrage,Beantwortet,2010-08-17,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Martin Lampert, SVP\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",457
Schriftliche Anfrage betreffend Volksinitiative in Wädenswil und die Kostenfolge für den Steuerzahler,Anfrage,Beantwortet,2010-08-17,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Martin Lampert, SVP\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",458
Schriftliche Anfrage betreffend lebenswertes Wädenswil,Anfrage,Beantwortet,2018-03-15,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",459
Postulat betreffend der Machbarkeit von Videoüberwachung neuralgischer (sicherheitsgefährdeter) Orte in Wädenswil,Postulat,Beantwortet,2010-11-25,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Martin Lampert, SVP\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",460
Postulat betreffend Gesundheitsprävention in Wädenswil,Postulat,Nicht überwiesen,2009-12-06,"['Thomas Largiadèr, SP, Aurel Greter, CVP und Tobias Mani, EVP']","['Thomas Largiadèr', 'Aurel Greter', 'Tobias Mani']",461
Schriftliche Anfrage betreffend Public WLAN Netz,Kleine Anfrage,Beantwortet,2007-08-31,['EVP-Fraktion'],['EVP-Fraktion'],462
Postulat betreffend wirksame Bedachung des Busbahnhofs in Wädenswil,Postulat,Nicht überwiesen,2010-05-22,"['Kuno Spirig, GLP']",['Kuno Spirig'],463
Postulat betreffend Überprüfung und Vereinfachung des Systems der Nutzungsgebühren/Mieten von Vereinen resp. Unterstützung durch die Stadt,Postulat,Abgeschrieben,2013-04-22,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",464
